id,y
516,0.025
517,0.963
518,0.611
519,0.048
520,0.95
521,0.025
522,0.302
523,0.06
524,0.021
525,0.904
526,0.725
527,0.89
528,0.272
529,0.087
530,0.574
531,0.294
532,0.95
533,0.119
534,0.879
535,0.007
536,0.086
537,0.018
538,0.975
539,0.958
540,0.012
541,0.563
542,0.281
543,0.033
544,0.774
545,0.024
546,0.445
547,0.87
548,0.012
549,0.182
550,0.005
551,0.169
552,0.577
553,0.047
554,0.994
555,0.299
556,0.208
557,0.061
558,0.211
559,0.022
560,0.013
561,0.396
562,0.748
563,0.09
564,0.043
565,0.254
566,0.109
567,0.267
568,0.882
569,0.05
570,0.987
571,0.041
572,0.507
573,0.82
574,0.039
575,0.836
576,0.973
577,0.782
578,0.938
579,0.83
580,0.301
581,0.423
582,0.669
583,0.929
584,0.063
585,0.286
586,0.002
587,0.373
588,0.556
589,0.62
590,0.222
591,0.39
592,0.501
593,0.643
594,0.796
595,0.055
596,0.087
597,0.204
598,0.135
599,0.037
600,0.942
601,0.069
602,0.022
603,0.04
604,0.856
605,0.052
606,0.891
607,0.898
608,0.592
609,0.886
610,0.515
611,0.022
612,0.171
613,0.815
614,0.054
615,0.855
616,0.124
617,0.086
618,0.696
619,0.992
620,0.597
621,0.822
622,0.922
623,0.102
624,0.092
625,0.078
626,0.127
627,0.678
628,0.048
629,0.505
630,0.079
631,0.265
632,0.824
633,0.134
634,0.978
635,0.907
636,0.947
637,0.985
638,0.056
639,0.778
640,0.196
641,0.095
642,0.036
643,0.982
644,0.234
645,0.158
646,0.857
647,0.792
648,0.451
649,0.985
650,0.53
651,0.981
652,0.685
653,0.116
654,0.034
655,0.051
656,0.016
657,0.298
658,0.231
659,0.098
660,0.627
661,0.186
662,0.972
663,0.089
664,0.081
665,0.666
666,0.9
667,0.942
668,0.006
669,0.961
670,0.061
671,0.747
672,0.072
673,0.751
674,0.031
675,0.917
676,0.698
677,0.074
678,0.859
679,0.009
680,0.04
681,0.688
682,0.6
683,0.947
684,0.041
685,0.364
686,0.161
687,0.008
688,0.018
689,0.588
690,0.063
691,0.674
692,0.112
693,0.049
694,0.223
695,0.075
696,0.835
697,0.756
698,0.786
699,0.005
700,0.807
701,0.068
702,0.088
703,0.9
704,0.812
705,0.5
706,0.126
707,0.178
708,0.818
709,0.414
710,0.473
711,0.075
712,0.059
713,0.176
714,0.754
715,0.932
716,0.012
717,0.902
718,0.005
719,0.819
720,0.127
721,0.056
722,0.351
723,0.078
724,0.099
725,0.814
726,0.165
727,0.354
728,0.042
729,0.078
730,0.119
731,0.128
732,0.105
733,0.691
734,0.051
735,0.14
736,0.08
737,0.651
738,0.007
739,0.967
740,0.809
741,0.461
742,0.098
743,0.861
744,0.063
745,0.947
746,0.32
747,0.886
748,0.093
749,0.538
750,0.075
751,0.483
752,0.162
753,0.492
754,0.077
755,0.756
756,0.959
757,0.216
758,0.169
759,0.096
760,0.041
761,0.217
762,0.508
763,0.861
764,0.01
765,0.966
766,0.788
767,0.073
768,0.138
769,0.002
770,0.012
771,0.707
772,0.399
773,0.886
774,0.042
775,0.097
776,0.799
777,0.017
778,0.562
779,0.095
780,0.069
781,0.053
782,0.178
783,0.448
784,0.014
785,0.89
786,0.966
787,0.25
788,0.907
789,0.166
790,0.054
791,0.795
792,0.639
793,0.181
794,0.1
795,0.203
796,0.795
797,0.002
798,0.306
799,0.009
800,0.972
801,0.206
802,0.971
803,0.068
804,0.764
805,0.947
806,0.368
807,0
808,0.008
809,0.834
810,0.068
811,0.275
812,0.002
813,0.042
814,0.097
815,0.692
816,0.726
817,0.06
818,0.712
819,0.044
820,0.241
821,0.041
822,0.782
823,0.094
824,0.03
825,0.136
826,0.015
827,0.887
828,0.063
829,0.343
830,0.418
831,0.734
832,0.216
833,0.025
834,0.02
835,0.83
836,0.19
837,0.707
838,0.063
839,0.085
840,0.044
841,0.087
842,0.54
843,0.883
844,0.935
845,0.226
846,0.105
847,0.977
848,0.539
849,0.135
850,0.818
851,0.669
852,0.01
853,0.75
854,0.533
855,0.065
856,0.622
857,0.802
858,0.294
859,0.991
860,0.009
861,0.086
862,0.948
863,0.052
864,0.378
865,0.195
866,0.778
867,0.982
868,0.409
869,0.039
870,0.256
871,0.009
872,0.423
873,0.027
874,0.003
875,0.744
876,0.786
877,0.816
878,0.233
879,0.094
880,0.917
881,0.79
882,0.913
883,0.316
884,0.083
885,0.856
886,0.053
887,0.028
888,0.785
889,0.047
890,0.007
891,0.899
892,0.176
893,0.955
894,0.808
895,0.034
896,0.015
897,0.049
898,0.129
899,0.025
900,0.953
901,0.162
902,0.304
903,0.896
904,0.659
905,0.111
906,0.032
907,0.304
908,0.577
909,0.011
910,0.972
911,0.47
912,0.223
913,0.052
914,0.978
915,0.016
916,0.603
917,0.057
918,0.624
919,0.781
920,0.531
921,0.002
922,0.693
923,0.029
924,0.087
925,0.456
926,0.187
927,0.124
928,0.858
929,0.066
930,0.067
931,0.44
932,0.923
933,0.03
934,0.704
935,0.813
936,0.819
937,0.279
938,0.038
939,0.28
940,0.085
941,0.027
942,0.102
943,0.136
944,0.01
945,0.611
946,0.599
947,0.033
948,0.176
949,0.03
950,0.915
951,0.1
952,0.421
953,0.429
954,0.047
955,0.812
956,0.178
957,0.944
958,0.007
959,0.956
960,0.308
961,0.89
962,0.939
963,0.241
964,0.115
965,0.026
966,0.867
967,0.704
968,0.297
969,0.2
970,0.187
971,0.203
972,0.3
973,0.632
974,0.235
975,0.08
976,0.686
977,0.472
978,0.917
979,0.973
980,0.858
981,0.785
982,0.026
983,0.099
984,0.04
985,0.139
986,0.072
987,0.121
988,0.898
989,0.209
990,0.696
991,0.285
992,0.078
993,0.617
994,0.877
995,0.979
996,0.11
997,0.045
998,0.197
999,0.784
1000,0.956
1001,0.049
1002,0.73
1003,0.134
1004,0.903
1005,0.171
1006,0.414
1007,0.934
1008,0.789
1009,0.944
1010,0.772
1011,0.166
1012,0.935
1013,0.968
1014,0.625
1015,0.14
1016,0.061
1017,0.006
1018,0.202
1019,0.771
1020,0.966
1021,0.005
1022,0.724
1023,0.062
1024,0.287
1025,0.832
1026,0.006
1027,0.694
1028,0.219
1029,0.093
1030,0.73
1031,0.979
1032,0.862
1033,0.892
1034,0.574
1035,0.827
1036,0.913
1037,0.616
1038,0.182
1039,0.313
1040,0.92
1041,0.949
1042,0.818
1043,0.928
1044,0.011
1045,0.012
1046,0.033
1047,0.063
1048,0.594
1049,0.373
1050,0.074
1051,0.834
1052,0.03
1053,0.055
1054,0.573
1055,0.003
1056,0.155
1057,0.161
1058,0.026
1059,0.05
1060,0.082
1061,0.227
1062,0.084
1063,0.807
1064,0.091
1065,0.097
1066,0.109
1067,0.039
1068,0.124
1069,0.262
1070,0.002
1071,0.148
1072,0.018
1073,0.038
1074,0.049
1075,0.486
1076,0.665
1077,0.072
1078,0.28
1079,0.049
1080,0.047
1081,0.003
1082,0.267
1083,0.575
1084,0.053
1085,0.11
1086,0.198
1087,0.908
1088,0.659
1089,0.904
1090,0.172
1091,0.818
1092,0.889
1093,0.971
1094,0.985
1095,0.97
1096,0.418
1097,0.018
1098,0.118
1099,0.043
1100,0.035
1101,0.867
1102,0.568
1103,0.041
1104,0.682
1105,0.591
1106,0.094
1107,0.847
1108,0.996
1109,0.62
1110,0.195
1111,0.797
1112,0.168
1113,0.151
1114,0.753
1115,0.826
1116,0.142
1117,0.391
1118,0.311
1119,0.175
1120,0.055
1121,0.048
1122,0.025
1123,0.508
1124,0.029
1125,0.023
1126,0.047
1127,0.557
1128,0.029
1129,0.02
1130,0.012
1131,0.089
1132,0.74
1133,0.006
1134,0.78
1135,0.94
1136,0.061
1137,0.319
1138,0.054
1139,0.857
1140,0.821
1141,0.979
1142,0.556
1143,0.06
1144,0.324
1145,0.855
1146,0.056
1147,0.86
1148,0.115
1149,0.409
1150,0.09
1151,0.903
1152,0.031
1153,0.099
1154,0.247
1155,0.532
1156,0.954
1157,0.359
1158,0.885
1159,0.281
1160,0.665
1161,0.003
1162,0.173
1163,0.108
1164,0.124
1165,0.05
1166,0.066
1167,0.985
1168,0.262
1169,0.475
1170,0.177
1171,0.297
1172,0.384
1173,0.845
1174,0.068
1175,0.826
1176,0.025
1177,0.065
1178,0.02
1179,0.382
1180,0.515
1181,0.087
1182,0.112
1183,0.845
1184,0.137
1185,0.047
1186,0.628
1187,0.338
1188,0.263
1189,0.456
1190,0.328
1191,0.456
1192,0.331
1193,0.073
1194,0.827
1195,0.448
1196,0.033
1197,0.013
1198,0.019
1199,0.884
1200,0.935
1201,0.213
1202,0.727
1203,0.873
1204,0.946
1205,0.835
1206,0.032
1207,0.001
1208,0.932
1209,0.058
1210,0.433
1211,0.115
1212,0.858
1213,0.251
1214,0.464
1215,0.049
1216,0.232
1217,0.054
1218,0.035
1219,0.17
1220,0.581
1221,0.563
1222,0.197
1223,0.108
1224,0.102
1225,0.605
1226,0.02
1227,0.356
1228,0.106
1229,0.087
1230,0.373
1231,0.027
1232,0.924
1233,0.032
1234,0.222
1235,0.063
1236,0.02
1237,0.858
1238,0.969
1239,0.069
1240,0.081
1241,0.618
1242,0.053
1243,0.623
1244,0.477
1245,0.908
1246,0.462
1247,0.956
1248,0.944
1249,0.134
1250,0.935
1251,0.121
1252,0.163
1253,0.005
1254,0.328
1255,0.977
1256,0.011
1257,0.244
1258,0.13
1259,0.612
1260,0.872
1261,0.895
1262,0.733
1263,0.831
1264,0.216
1265,0.02
1266,0.075
1267,0.352
1268,0.027
1269,0.975
1270,0.644
1271,0.033
1272,0.075
1273,0.124
1274,0.364
1275,0.194
1276,0.942
1277,0.134
1278,0.065
1279,0.09
1280,0.854
1281,0.973
1282,0.682
1283,0.879
1284,0.178
1285,0.156
1286,0.044
1287,0.899
1288,0.597
1289,0.083
1290,0.315
1291,0.359
1292,0.707
1293,0.3
1294,0.078
1295,0.091
1296,0.274
1297,0.438
1298,0.364
1299,0.688
1300,0.905
1301,0.041
1302,0.989
1303,0.14
1304,0.122
1305,0.066
1306,0.178
1307,0.002
1308,0.972
1309,0.973
1310,0.004
1311,0.526
1312,0.013
1313,0.02
1314,0.773
1315,0.031
1316,0.955
1317,0.294
1318,0.572
1319,0.078
1320,0.8
1321,0.142
1322,0.091
1323,0.948
1324,0.467
1325,0.774
1326,0.23
1327,0.178
1328,0.013
1329,0.08
1330,0.001
1331,0.024
1332,0.112
1333,0.147
1334,0.126
1335,0.931
1336,0.036
1337,0.168
1338,0.898
1339,0.347
1340,0.205
1341,0.062
1342,0.819
1343,0.907
1344,0.047
1345,0.054
1346,0.073
1347,0.301
1348,0.672
1349,0.409
1350,0.268
1351,0.585
1352,0.052
1353,0.453
1354,0.075
1355,0.121
1356,0.262
1357,0.921
1358,0.734
1359,0.716
1360,0.068
1361,0.107
1362,0.684
1363,0.064
1364,0.136
1365,0.988
1366,0.03
1367,0.107
1368,0.031
1369,0.056
1370,0.001
1371,0.137
1372,0.59
1373,0.207
1374,0.116
1375,0.378
1376,0.675
1377,0.099
1378,0.77
1379,0.731
1380,0.098
1381,0.353
1382,0.368
1383,0.034
1384,0.384
1385,0.05
1386,0.825
1387,0.977
1388,0.952
1389,0.038
1390,0.768
1391,0.355
1392,0.502
1393,0.067
1394,0.197
1395,0.197
1396,0.487
1397,0.127
1398,0.402
1399,0.159
1400,0.176
1401,0.03
1402,0.687
1403,0.115
1404,0.021
1405,0.331
1406,0.957
1407,0.062
1408,0.007
1409,0.892
1410,0.039
1411,0.094
1412,0.331
1413,0.451
1414,0.193
1415,0.88
1416,0.555
1417,0.121
1418,0.028
1419,0.474
1420,0.059
1421,0.049
1422,0.051
1423,0.285
1424,0.142
1425,0.035
1426,0.846
1427,0.14
1428,0.431
1429,0.243
1430,0.027
1431,0.46
1432,0.099
1433,0.642
1434,0.825
1435,0.935
1436,0.123
1437,0.948
1438,0.98
1439,0.003
1440,0.545
1441,0.424
1442,0.35
1443,0.882
1444,0.742
1445,0.55
1446,0.128
1447,0.087
1448,0.131
1449,0.036
1450,0.414
1451,0.302
1452,0.537
1453,0.793
1454,0.263
1455,0.662
1456,0.121
1457,0.402
1458,0.024
1459,0.989
1460,0.03
1461,0.04
1462,0.888
1463,0.953
1464,0.39
1465,0.739
1466,0.153
1467,0.086
1468,0.96
1469,0.296
1470,0.211
1471,0.484
1472,0.979
1473,0.907
1474,0.28
1475,0.059
1476,0.071
1477,0.875
1478,0.039
1479,0.19
1480,0.182
1481,0.008
1482,0.048
1483,0.718
1484,0.848
1485,0.048
1486,0.029
1487,0.735
1488,0.13
1489,0.206
1490,0.678
1491,0.934
1492,0.501
1493,0.707
1494,0.44
1495,0.493
1496,0.008
1497,0.015
1498,0.02
1499,0.818
1500,0.006
1501,0.017
1502,0.031
1503,0.885
1504,0.192
1505,0.121
1506,0.001
1507,0.937
1508,0.127
1509,0.072
1510,0.011
1511,0.727
1512,0.942
1513,0.682
1514,0.077
1515,0.081
1516,0.551
1517,0.093
1518,0.02
1519,0.035
1520,0.861
1521,0.714
1522,0.797
1523,0.878
1524,0.695
1525,0.289
1526,0.704
1527,0.964
1528,0.82
1529,0.222
1530,0.859
1531,0.311
1532,0.845
1533,0.337
1534,0.136
1535,0.772
1536,0.035
1537,0.762
1538,0.071
1539,0.136
1540,0.058
1541,0.344
1542,0.962
1543,0.94
1544,0.436
1545,0.044
1546,0.005
1547,0.371
1548,0.453
1549,0.116
1550,0.028
1551,0.044
1552,0.232
1553,0.016
1554,0.318
1555,0.765
1556,0.044
1557,0.026
1558,0.156
1559,0.228
1560,0.924
1561,0.46
1562,0.584
1563,0.755
1564,0.007
1565,0.924
1566,0.167
1567,0.969
1568,0.152
1569,0.154
1570,0.926
1571,0.415
1572,0.953
1573,0.389
1574,0.832
1575,0.2
1576,0.446
1577,0.04
1578,0.148
1579,0.974
1580,0.919
1581,0.921
1582,0.058
1583,0.939
1584,0.079
1585,0.267
1586,0.986
1587,0.947
1588,0.126
1589,0.819
1590,0.018
1591,0.926
1592,0.397
1593,0.787
1594,0.072
1595,0.939
1596,0.262
1597,0.08
1598,0.009
1599,0.901
1600,0.01
1601,0.885
1602,0.858
1603,0.127
1604,0.268
1605,0.072
1606,0.108
1607,0.108
1608,0.439
1609,0.731
1610,0.99
1611,0.11
1612,0.005
1613,0.066
1614,0.014
1615,0.082
1616,0.088
1617,0.877
1618,0.138
1619,0.414
1620,0.804
1621,0.176
1622,0.961
1623,0.855
1624,0.71
1625,0.982
1626,0.241
1627,0.085
1628,0.045
1629,0.882
1630,0.667
1631,0.099
1632,0.142
1633,0.652
1634,0.1
1635,0.731
1636,0.76
1637,0.077
1638,0.988
1639,0.901
1640,0.005
1641,0.252
1642,0.013
1643,0.915
1644,0.098
1645,0.235
1646,0.163
1647,0.09
1648,0.91
1649,0.187
1650,0.04
1651,0.01
1652,0.009
1653,0.175
1654,0.649
1655,0.816
1656,0.022
1657,0.979
1658,0.024
1659,0.683
1660,0.672
1661,0.046
1662,0.029
1663,0.97
1664,0.741
1665,0.717
1666,0.785
1667,0.05
1668,0.916
1669,0.872
1670,0.004
1671,0.007
1672,0.907
1673,0.018
1674,0.969
1675,0.769
1676,0.058
1677,0.241
1678,0.608
1679,0.022
1680,0.023
1681,0.326
1682,0.023
1683,0.342
1684,0.939
1685,0.244
1686,0.127
1687,0.969
1688,0.833
1689,0.036
1690,0.079
1691,0.827
1692,0.8
1693,0.736
1694,0.261
1695,0.011
1696,0.151
1697,0.089
1698,0.783
1699,0.094
1700,0.677
1701,0.051
1702,0.748
1703,0.97
1704,0.978
1705,0.024
1706,0.41
1707,0.965
1708,0.829
1709,0.811
1710,0.02
1711,0.042
1712,0.566
1713,0.13
1714,0.79
1715,0.497
1716,0.047
1717,0.215
1718,0.874
1719,0.345
1720,0.065
1721,0.685
1722,0.023
1723,0.801
1724,0.979
1725,0.871
1726,0.148
1727,0.724
1728,0.709
1729,0.761
1730,0.076
1731,0.039
1732,0.099
1733,0.018
1734,0.164
1735,0.031
1736,0.901
1737,0.038
1738,0.935
1739,0.181
1740,0.003
1741,0.122
1742,0.012
1743,0.216
1744,0.198
1745,0.02
1746,0.04
1747,0.027
1748,0.437
1749,0.818
1750,0.018
1751,0.015
1752,0.1
1753,0.255
1754,0.86
1755,0.908
1756,0.614
1757,0.084
1758,0.397
1759,0.786
1760,0.058
1761,0.946
1762,0.007
1763,0.92
1764,0.083
1765,0.004
1766,0.539
1767,0.981
1768,0.683
1769,0.025
1770,0.825
1771,0.056
1772,0.063
1773,0.878
1774,0.794
1775,0.988
1776,0.001
1777,0.662
1778,0.523
1779,0.421
1780,0.142
1781,0.84
1782,0.98
1783,0.094
1784,0.221
1785,0.046
1786,0.02
1787,0.077
1788,0.042
1789,0.002
1790,0.98
1791,0.034
1792,0.482
1793,0.092
1794,0.074
1795,0.588
1796,0.26
1797,0.09
1798,0.132
1799,0.016
1800,0.675
1801,0.03
1802,0.163
1803,0.049
1804,0.158
1805,0.184
1806,0.059
1807,0.838
1808,0.022
1809,0.952
1810,0.867
1811,0.018
1812,0.868
1813,0.693
1814,0.4
1815,0.08
1816,0.155
1817,0.521
1818,0.934
1819,0.884
1820,0.574
1821,0.993
1822,0.863
1823,0.724
1824,0.198
1825,0.479
1826,0.008
1827,0.382
1828,0.959
1829,0.876
1830,0.952
1831,0.175
1832,0.365
1833,0.152
1834,0.076
1835,0.145
1836,0.989
1837,0.027
1838,0.07
1839,0.25
1840,0.162
1841,0.229
1842,0.12
1843,0.955
1844,0.096
1845,0.13
1846,0.228
1847,0.701
1848,0.307
1849,0.049
1850,0.029
1851,0.006
1852,0.234
1853,0.013
1854,0.425
1855,0.026
1856,0.064
1857,0.127
1858,0.252
1859,0.651
1860,0.89
1861,0.885
1862,0.878
1863,0.007
1864,0.313
1865,0.476
1866,0.182
1867,0.033
1868,0.049
1869,0.896
1870,0.056
1871,0.089
1872,0.631
1873,0.827
1874,0.043
1875,0.026
1876,0.024
1877,0.848
1878,0.287
1879,0.807
1880,0.075
1881,0.028
1882,0.734
1883,0.221
1884,0.015
1885,0.764
1886,0.83
1887,0.051
1888,0.193
1889,0.056
1890,0.081
1891,0.272
1892,0.587
1893,0.049
1894,0.251
1895,0.969
1896,0.052
1897,0.839
1898,0.758
1899,0.164
1900,0.892
1901,0.758
1902,0.033
1903,0.707
1904,0.395
1905,0.113
1906,0.921
1907,0.243
1908,0.006
1909,0.257
1910,0.756
1911,0.007
1912,0.259
1913,0.268
1914,0.576
1915,0.439
1916,0.395
1917,0.954
1918,0.134
1919,0.413
1920,0.138
1921,0.729
1922,0.065
1923,0.109
1924,0.921
1925,0.813
1926,0.985
1927,0.842
1928,0.334
1929,0.525
1930,0.792
1931,0.961
1932,0.755
1933,0.943
1934,0.494
1935,0.07
1936,0.763
1937,0.893
1938,0.053
1939,0.941
1940,0.736
1941,0.461
1942,0.106
1943,0.036
1944,0.779
1945,0.965
1946,0.079
1947,0.147
1948,0.696
1949,0.628
1950,0.091
1951,0.029
1952,0.405
1953,0.889
1954,0.911
1955,0.142
1956,0.02
1957,0.019
1958,0.624
1959,0.058
1960,0.041
1961,0.125
1962,0.77
1963,0.202
1964,0.934
1965,0.468
1966,0.019
1967,0.883
1968,0.096
1969,0.188
1970,0.179
1971,0.073
1972,0.656
1973,0.091
1974,0.14
1975,0.944
1976,0.13
1977,0.066
1978,0.569
1979,0.587
1980,0.714
1981,0.536
1982,0.499
1983,0.253
1984,0.146
1985,0.906
1986,0.806
1987,0.194
1988,0.025
1989,0.199
1990,0.011
1991,0.039
1992,0.87
1993,0.008
1994,0.158
1995,0.941
1996,0.914
1997,0.039
1998,0.334
1999,0.044
2000,0.006
2001,0.414
2002,0.417
2003,0.187
2004,0.907
2005,0.017
2006,0.952
2007,0.944
2008,0.592
2009,0.279
2010,0.603
2011,0.415
2012,0.167
2013,0.116
2014,0.832
2015,0.865
2016,0.234
2017,0.693
2018,0.375
2019,0.308
2020,0.95
2021,0.984
2022,0.951
2023,0.069
2024,0.03
2025,0.014
2026,0.91
2027,0.958
2028,0.782
2029,0.727
2030,0.173
2031,0.048
2032,0.327
2033,0.403
2034,0.913
2035,0.912
2036,0.17
2037,0.164
2038,0.125
2039,0.786
2040,0.245
2041,0.043
2042,0.233
2043,0.325
2044,0.948
2045,0.206
2046,0.093
2047,0.812
2048,0.221
2049,0.682
2050,0.007
2051,0.045
2052,0.796
2053,0.011
2054,0.997
2055,0.566
2056,0.026
2057,0.259
2058,0.298
2059,0.769
2060,0.843
2061,0.026
2062,0.262
2063,0.882
2064,0.051
2065,0.693
2066,0.16
2067,0.92
2068,0.129
2069,0.358
2070,0.233
2071,0.898
2072,0.009
2073,0.012
2074,0.025
2075,0.306
2076,0.54
2077,0.455
2078,0.407
2079,0.027
2080,0.064
2081,0.92
2082,0.093
2083,0.826
2084,0.015
2085,0.015
2086,0.982
2087,0.227
2088,0.112
2089,0.116
2090,0.068
2091,0.905
2092,0.047
2093,0.167
2094,0.94
2095,0.045
2096,0.435
2097,0.849
2098,0.285
2099,0.119
2100,0.157
2101,0.441
2102,0.391
2103,0.122
2104,0.911
2105,0.052
2106,0.081
2107,0.21
2108,0.828
2109,0.008
2110,0.123
2111,0.036
2112,0.039
2113,0.017
2114,0.232
2115,0.14
2116,0.818
2117,0.004
2118,0.666
2119,0.671
2120,0.001
2121,0.844
2122,0.073
2123,0.102
2124,0.008
2125,0.005
2126,0.57
2127,0.591
2128,0.411
2129,0.151
2130,0.061
2131,0.657
2132,0.053
2133,0.821
2134,0.912
2135,0.266
2136,0.901
2137,0.074
2138,0.59
2139,0.442
2140,0.88
2141,0.522
